idrss_entries,title,public_date,category,provider,number_of_articles
"711","If You Tried to See the Bay Lights from Treasure Island, You Are Probably Angry ...","Wed Mar 06 06:07:29 EST 2013","Business","The Atlantic Cities","65"
"718","Samsung gets a foot in at key Apple supplier Sharp with $110-million investment","Wed Mar 06 06:06:36 EST 2013","Business","Globe and Mail","67"
"719","Europe Stocks Little Changed Near 4 1\2-Year High","Wed Mar 06 06:15:18 EST 2013","Business","Businessweek","55"
"720","BOJ nominee Kuroda sets out aggressive policy ideas","Mon Mar 04 05:50:40 EST 2013","Business","Reuters UK","-1"
"737","China Studying Glencore's Copper Trading Delays $35 Billion Deal","Tue Mar 05 14:03:13 EST 2013","Business","Bloomberg","84"
"738","Markets keep rising after Dow hits record high","Wed Mar 06 06:15:11 EST 2013","Business","San Francisco Chronicle","101"
"750","Meat-Inspector Furloughs to Take 'Several Months,' Vilsack Says","Tue Mar 05 11:04:46 EST 2013","Business","Bloomberg","32"
"759","Samsung Invests in Sharp","Wed Mar 06 06:28:56 EST 2013","Business","NASDAQ","69"
"777","Hackers Hit Czech Websites in Latest Wave of Cyber-Attacks","Wed Mar 06 06:34:36 EST 2013","Business","Wall Street Journal (blog)","5"
"778","Microsoft Fined $731 Million by EU for Violating Browser Accord","Wed Mar 06 06:39:41 EST 2013","Business","Bloomberg","31"
"790","China Yuan Rises on PBOC Guidance","Wed Mar 06 04:23:49 EST 2013","Business","Wall Street Journal","66"
"795","FOREX-Euro lags commodity currencies recovery on ECB risks","Wed Mar 06 04:22:30 EST 2013","Business","Reuters","139"
"796","Yuan closes highest since January as companies bet on appreciation","Wed Mar 06 05:36:59 EST 2013","Business","Economic Times","66"
"797","Daily Report: Yahoo's In-Office Policy Aims to Bolster Morale","Wed Mar 06 06:28:56 EST 2013","Business","New York Times (blog)","195"
"798","* Samsung\Sharp deal: sign of the times","Wed Mar 06 06:49:25 EST 2013","Business","Financial Times (blog)","71"
"799","US stocks rally to lift Dow to new heights","Wed Mar 06 06:16:30 EST 2013","Business","MarketWatch","658"
"801","Stock index futures point to fresh peaks","Wed Mar 06 06:56:45 EST 2013","Business","Reuters","660"
"802","Caution over ECB policy leaves euro flat","Wed Mar 06 06:38:34 EST 2013","Business","Financial Times","139"
"828","Microsoft hit with $730 million antitrust fine by EU","Wed Mar 06 07:04:22 EST 2013","Business","CNN","57"
"834","EU fines Microsoft €561m for pact breach","Wed Mar 06 07:04:56 EST 2013","Business","Financial Times","61"
"853","Stock futures rise, set to extend rally","Wed Mar 06 06:56:45 EST 2013","Business","Reuters","672"
"857","EU fines Microsoft $730m over browser choice","Wed Mar 06 07:01:23 EST 2013","Business","Aljazeera.com","-1"
"858","Mystery drone near JFK airport: FBI seeks public's help in investigation (+video)","Wed Mar 06 06:56:30 EST 2013","Business","Christian Science Monitor","132"
"859","Euro-Area Economy Slumped in Fourth Quarter on Trade, Investment","Wed Mar 06 05:15:40 EST 2013","Business","Bloomberg","155"
"864","California is hub for many of 600000 American 'megacommuters'","Wed Mar 06 07:01:45 EST 2013","Business","Reuters","107"
"866","Passenger aircraft has near miss with drone above New York","Wed Mar 06 06:48:19 EST 2013","Business","Geek","132"
"867","China Shares End Higher on Wall Street, Policy Expectations","Wed Mar 06 03:38:04 EST 2013","Business","Wall Street Journal","66"
"869","Dow Poised To Extend Record High","Wed Mar 06 06:21:09 EST 2013","Business","CNBC.com (blog)","106"
"870","Did OMTs Turn the ECB Into a Real Central Bank?","Wed Mar 06 07:27:53 EST 2013","Business","Wall Street Journal (blog)","156"
"886","Click here to track markets","Wed Mar 06 07:19:25 EST 2013","Business","CNN","14"
"899","Stock futures gain, set to extend rally; jobs data due","Wed Mar 06 07:26:55 EST 2013","Business","Reuters","682"
"912","Staples's Profit Drops 72% on Restructuring Charges","Wed Mar 06 06:57:27 EST 2013","Business","Wall Street Journal","13"
"913","Euro Steady, Canadian Dollar Slips Before Rate Decisions","Wed Mar 06 07:54:47 EST 2013","Business","Wall Street Journal","157"
"914","US STOCKS-Futures gain, set to extend rally; jobs data due","Wed Mar 06 07:56:39 EST 2013","Business","Reuters","111"
"916","Thomas Cook to cut 2500 jobs in the UK","Wed Mar 06 07:38:12 EST 2013","Business","Reuters","27"
"926","Chavez death brings uncertainty, hope to oil patch","Wed Mar 06 01:04:00 EST 2013","Business","The Associated Press","-1"
"939","Stock futures point higher after record close","Wed Mar 06 08:15:18 EST 2013","Business","USA TODAY","682"
"946","Distressed Home Sales Bolster Recovering Housing Market","Wed Mar 06 06:49:37 EST 2013","Business","CNBC.com","54"
"947","Nasdaq to Launch Private-Share Exchange in JV With SharesPost","Wed Mar 06 07:05:25 EST 2013","Business","Wall Street Journal (blog)","-1"
"948","Thomas Cook Seeks 2500 Job Cut as Tour Operator Shutters Stores","Wed Mar 06 08:06:24 EST 2013","Business","Bloomberg","32"
"964","Stock futures add to gains after private jobs data","Wed Mar 06 08:25:02 EST 2013","Business","Reuters","681"
"966","Long Stuck in Obscurity, Bay Bridge Will Go From Drab Gray to Glowing","Tue Mar 05 13:50:47 EST 2013","Business","New York Times","67"
"967","New Yahoo Policy Meant to Boost Morale","Wed Mar 06 07:54:03 EST 2013","Business","Daily Beast","204"
"971","Nasdaq launches index for private groups","Wed Mar 06 08:23:12 EST 2013","Business","Financial Times","12"
"983","Nasdaq to Offer Unlisted-Stocks Trading With SharesPost","Wed Mar 06 07:16:13 EST 2013","Business","Bloomberg","12"
"984","Treasurys fall further after ADP jobs report","Wed Mar 06 08:25:24 EST 2013","Business","MarketWatch","-1"
"985","Samsung Buys A Stake In Sharp Which Could Cause More Friction With Apple","Wed Mar 06 08:27:46 EST 2013","Business","AppAdvice","86"
"986","Staples Falls After Profit Forecast Trails Estimates","Wed Mar 06 08:24:36 EST 2013","Business","Bloomberg","14"
"991","Plosser Says Fed Should Taper QE as Costs Outweigh Benefits","Wed Mar 06 08:30:27 EST 2013","Business","Bloomberg","4"
"992","ADP Says Companies in U.S. Added 198000 Workers in February","Wed Mar 06 08:31:08 EST 2013","Business","Bloomberg","12"
"999","ADP Says Companies in US Added 198000 Workers in February","Wed Mar 06 08:31:08 EST 2013","Business","Bloomberg","12"
"1006","AM Kitco Metals Roundup: Gold Near Steady as Fresh Fundamental Inputs ...","Wed Mar 06 08:33:03 EST 2013","Business","Forbes","101"
"1019","Samsung buys equity stake in Sharp","Wed Mar 06 08:42:51 EST 2013","Business","The Deal Pipeline","89"
"1032","Stocks: Another day, another record?","Wed Mar 06 08:51:22 EST 2013","Business","CNN","696"
"1033","Samsung invests $112 million in Sharp","Wed Mar 06 08:25:59 EST 2013","Business","USA TODAY","89"
"1038","EU fines Microsoft $731 million for failed promise, warns others","Wed Mar 06 09:01:15 EST 2013","Business","Reuters","103"
"1045","Polish Central Bank Cuts Policy Rate For Fifth Time To Boost Growth","Wed Mar 06 08:36:29 EST 2013","Business","RTT News","-1"
"1054","US Stock Futures Extend Gains Ahead Of Private-Sector Jobs Data","Wed Mar 06 08:26:45 EST 2013","Business","Wall Street Journal","714"
"1055","Poland lowers key interest rate to 3.25 percent","Wed Mar 06 08:50:00 EST 2013","Business","The Associated Press","9"
"1074","Chavez successors likely to continue to use oil as political tool","Wed Mar 06 07:49:20 EST 2013","Business","Washington Post","11"
"1093","Dell's Board Actively Soliciting Alternate Buyout Offers","Wed Mar 06 08:43:44 EST 2013","Business","Bloomberg","9"
"1094","US Stock Futures Suggest Rally Set to Continue","Wed Mar 06 09:12:58 EST 2013","Business","Wall Street Journal","716"
"1095","European officials fine Microsoft $731 million in browser case","Wed Mar 06 09:05:19 EST 2013","Business","Los Angeles Times","122"
"1104","PDVSA Has Long Way to Come Back After Chaves: Hofmeister","Wed Mar 06 09:11:21 EST 2013","Business","Businessweek","14"
"1121","US Stock Futures Climb as ADP Jobs Data Top Forecasts","Wed Mar 06 09:32:05 EST 2013","Business","Businessweek","715"
"1124","Dow Sets Record: More Highs to Come, or a Pullback?","Wed Mar 06 09:01:24 EST 2013","Business","Fox Business","109"
"1133","Polish Central Bank Cuts Main Rate To 3.25%","Wed Mar 06 08:41:11 EST 2013","Business","NASDAQ","9"
"1134","Stocks keep rising, Dow in record territory","Wed Mar 06 09:37:20 EST 2013","Business","USA TODAY","104"
"1146","Wall Street climbs at open on ADP data","Wed Mar 06 09:40:33 EST 2013","Business","Reuters","706"
"1147","Staples 4Q Sales Weaken as Net Falls 72%","Wed Mar 06 09:41:54 EST 2013","Business","Fox Business","16"
"1148","San Francisco bridge twinkles brighter","Wed Mar 06 08:01:24 EST 2013","Business","WWLP 22News","67"
"1151","Thomas Cook to cut stores in online shift","Wed Mar 06 08:35:37 EST 2013","Business","Financial Times","54"
"1153","Euro Steady, Canadian Dollar Slips","Wed Mar 06 09:04:26 EST 2013","Business","Wall Street Journal","148"
"1154","Bay Bridge Lights","Wed Mar 06 09:44:48 EST 2013","Business","KSEE","68"
"1155","Thomas Cook to cut 2500 jobs in UK","Wed Mar 06 09:50:37 EST 2013","Business","Reuters","54"
"1177","Nasdaq, SharesPost to set up exchange for unlisted stock","Wed Mar 06 08:57:10 EST 2013","Business","Globe and Mail","15"
"1197","ECB Faces Growing Challenge","Wed Mar 06 10:01:03 EST 2013","Business","Wall Street Journal (blog)","151"
"1198","Stocks Rise; Dow Pushes Further Into Record Territory","Wed Mar 06 09:56:28 EST 2013","Business","TheStreet.com","710"
"1208","Dow climbs further into record territory","Wed Mar 06 09:43:12 EST 2013","Business","CNNMoney","42"
"1209","Samsung Invests $112 Million In Sharp To Corner A Big Resource Apple Needs","Wed Mar 06 09:57:52 EST 2013","Business","San Francisco Chronicle","93"
"1210","Actually, Marissa Mayer Didn't Ban Yahoos From Working At Home","Wed Mar 06 09:57:35 EST 2013","Business","Mashable","210"
"1213","5 Things to Consider From Yahoo!'s Marissa Mayer Memo","Wed Mar 06 10:01:57 EST 2013","Business","Fox Business","210"
"1216","US STOCKS-Wall St set to extend rally as private hiring picks up","Wed Mar 06 08:51:47 EST 2013","Business","Reuters","112"
"1217","Dell's Special Committee Defends Sale Process Amid Shareholder Dissent","Wed Mar 06 09:42:07 EST 2013","Business","Fox Business","42"
"1232","US Stocks Extend Rally on the Heels of DJIA Record","Wed Mar 06 10:12:21 EST 2013","Business","Wall Street Journal","708"
"1233","American Eagle Slumps 10% on 4Q Miss, Weak Outlook","Wed Mar 06 09:49:36 EST 2013","Business","Fox Business","31"
"1238","Dell Board Defends Buyout Amid Mounting Investor Resistance","Wed Mar 06 10:23:07 EST 2013","Business","Businessweek","44"
"1239","US stocks open higher following Dow's record day","Wed Mar 06 09:51:05 EST 2013","Business","Boston.com","722"
"1245","JGBs surge on speculation BOJ will buy more long bonds","Mon Mar 04 02:21:22 EST 2013","Business","Reuters","-1"
"1255","Exxon Mobil predicts lower production this year","Wed Mar 06 10:18:16 EST 2013","Business","Huffington Post","25"
"1256","Treasurys Extend Losses on ADP Jobs Report","Wed Mar 06 09:46:33 EST 2013","Business","Wall Street Journal","42"
"1260","UPDATE 1-Exxon's 2013 output to fall before growth returns","Wed Mar 06 10:02:09 EST 2013","Business","Reuters","25"
"1261","US factory orders drop 2.0% in January","Wed Mar 06 10:06:40 EST 2013","Business","MarketWatch","-1"
"1268","Nasdaq, SharesPost to launch private-shares exchange","Wed Mar 06 10:27:51 EST 2013","Business","San Francisco Business Times (blog)","16"
"1269","The Bay Lights Finally Turn On, and the Results Are Fantastic","Wed Mar 06 10:18:14 EST 2013","Business","The Atlantic Cities","69"
"1270","Staples drops on disappointing sales, outlook","Wed Mar 06 09:36:27 EST 2013","Business","MarketWatch","23"
"1271","Exxon Mobil expects production to dip this year on drop in natural gas, then rise ...","Wed Mar 06 10:24:16 EST 2013","Business","Washington Post","25"
"1272","Round Two: Dell's Largest Outside Investor Questions Buyout Offer Again","Tue Mar 05 12:53:25 EST 2013","Business","CRN","44"
"1283","Oil Drops Fourth Time in Five Days on Inventory Report","Wed Mar 06 10:05:11 EST 2013","Business","Bloomberg","20"
"1284","US stocks climb following Dow's record day","Wed Mar 06 10:31:15 EST 2013","Business","Boston.com","742"
"1285","JC Penney Board Said To Mull Sale; Wall St. Bull Slashes Outlook","Wed Mar 06 08:51:35 EST 2013","Business","Forbes","81"
"1286","Oil Extends Drop After Inventories Increase","Wed Mar 06 10:05:11 EST 2013","Business","Bloomberg","20"
"1289","J.C. Penney drops after Vornado confirms sale","Wed Mar 06 10:18:27 EST 2013","Business","MarketWatch","82"
"1290","Gasoline Futures Decline Before EIA Weekly Inventory Report","Wed Mar 06 10:26:40 EST 2013","Business","Bloomberg","8"
"1291","Dow hits fresh record as private hiring picks up","Wed Mar 06 10:39:19 EST 2013","Business","Reuters","150"
"1292","Bullish On Jobs After ADP Report? Watch Out For Winter Storm Nemo And Soft ...","Wed Mar 06 10:37:28 EST 2013","Business","Forbes","43"
"1296","Samsung invests $111M in Sharp to buoy display business","Wed Mar 06 10:37:36 EST 2013","Business","CNET","90"
"1297","J.C. Penney Stock Rating Cut at Citigroup, Oppenheimer","Wed Mar 06 10:37:31 EST 2013","Business","Bloomberg","82"
"1301","US stocks keep climbing following Dow's record day","Wed Mar 06 10:38:39 EST 2013","Business","Los Angeles Times","741"
"1306","U.S. factory orders drop 2.0% in January","Wed Mar 06 10:07:16 EST 2013","Business","MarketWatch","12"
"1313","US factory orders that signal investment surge","Wed Mar 06 10:26:06 EST 2013","Business","Boston.com","12"
"1327","Orders for core capital goods jump in January","Wed Mar 06 10:47:07 EST 2013","Business","USA TODAY","13"
"1339","Nasdaq, SharesPost to set up market for unlisted stocks","Wed Mar 06 10:12:29 EST 2013","Business","Fox Business","17"
"1340","US STOCKS-Wall St set to rise with Dow record within sight","Tue Mar 05 09:11:16 EST 2013","Business","Reuters","139"
"1356","Southeastern keeps the pressure on Dell","Wed Mar 06 08:13:01 EST 2013","Business","FierceFinance","45"
"1364","Staples 4Q hit by charges, forecast misses view","Wed Mar 06 10:56:00 EST 2013","Business","The Associated Press","27"
"1365","Bay Bridge light display dazzles San Francisco","Wed Mar 06 11:00:29 EST 2013","Business","Los Angeles Times","69"
"1377","Staples 4th-quarter weighed down by charges, 2013 forecast misses view","Wed Mar 06 11:04:37 EST 2013","Business","Washington Post","26"
"1380","Canada Stocks Rise as Central Bank Holds Interest Rates Steady","Wed Mar 06 11:01:40 EST 2013","Business","Bloomberg","63"
"1382","US Stocks Extend Rally After Upbeat Jobs Data","Wed Mar 06 11:08:36 EST 2013","Business","Wall Street Journal","755"
