idrss_entries,title,public_date,category,provider,number_of_articles
"987","Playing Video Games Tied To Happiness, Emotional Wellness in Seniors","Wed Mar 06 08:26:57 EST 2013","Health","PsychCentral.com","18"
"1005","Your chances of dying by 2023? Test offers a clue - WWMT","Tue Mar 05 16:15:03 EST 2013","Health","TV","-1"
"1015","Call of Duty grandpa? Video games make seniors happier","Wed Mar 06 08:34:50 EST 2013","Health","natmonitor.com","19"
"1023","HIV infected people at higher heart attack risk","Tue Mar 05 06:13:24 EST 2013","Health","Times of India","14"
"1026","Test can give clue for one's chances of dying in next 10 years","Wed Mar 06 07:27:30 EST 2013","Health","CTV News","9"
"1040","Lilly confident on keeping dividend through patent cliff","Wed Mar 06 08:51:11 EST 2013","Health","Reuters","3"
"1046","Old People who Play Video Games Report Greater Well-Being: Study","Wed Mar 06 08:47:58 EST 2013","Health","Nature World News","21"
"1076","Let's Play “Adult ADHD: The Drinking Game!”","Wed Mar 06 09:11:05 EST 2013","Health","Philadelphia Magazine (blog)","77"
"1086","World Awaits Impact of Baby Cured of HIV","Wed Mar 06 09:14:38 EST 2013","Health","WLTX.com","104"
"1087","U.S. Hospitals Hit by Superbug","Wed Mar 06 09:13:56 EST 2013","Health","Health Aim","66"
"1088","Johnson & Johnson's Xarelto Receives FDA Rejection","Wed Mar 06 09:13:58 EST 2013","Health","Health Aim","20"
"1112","Lax Policing of Doctor and Pharmacy Conflicts Is Found in Medicare Coverage ...","Tue Mar 05 00:11:37 EST 2013","Health","New York Times","30"
"1166","Old People Who Play Video Games Are Happier, Higher Functioning Than Non ...","Wed Mar 06 09:43:41 EST 2013","Health","Geekosystem","22"
"1192","Rivaroxaban ACS indication remains unapproved, manufacturer says","Wed Mar 06 09:58:14 EST 2013","Health","Family Practice News Digital Network","21"
"1193","CDC Issues Warning Against 'Nightmare Bacteria'","Wed Mar 06 09:58:49 EST 2013","Health","RTT News","72"
"1246","Video Games Are Good For Your Mental Health, Especially Seniors","Wed Mar 06 10:20:03 EST 2013","Health","Hot Hardware","23"
"1281","Now, portable device to detect stroke","Wed Mar 06 08:59:39 EST 2013","Health","Hindu Business Line","9"
"1326","Attorney General Conway Announces Kentucky's Participation in $22.5M ...","Wed Mar 06 10:39:38 EST 2013","Health","WTVQ","22"
"1336","Novel System Delivers Postop Pain Relief","Wed Mar 06 09:01:08 EST 2013","Health","MedPage Today","5"
"1363","FDA Panel Says 'No' to Osteoporosis Drug","Wed Mar 06 11:02:35 EST 2013","Health","MedPage Today","10"
"1371","CDC: 'Nightmare bacteria' spreading","Wed Mar 06 11:00:21 EST 2013","Health","CNN","81"
"1394","The CPR Death at Glenwood Gardens: What Really Happened and Five ...","Wed Mar 06 11:09:50 EST 2013","Health","Forbes","306"
"1404","'Nightmare bacteria' spreading","Wed Mar 06 11:13:37 EST 2013","Health","CNN","83"
"1422","Five Health IT Firms Band Together To Create A National System For Identifying ...","Mon Mar 04 15:34:58 EST 2013","Health","Forbes","23"
"1429","Lilly CEO blasts Europe's drug-pricing moves","Wed Mar 06 11:21:48 EST 2013","Health","FiercePharma","4"
"1430","Why your grandma should start playing Xbox","Wed Mar 06 11:23:59 EST 2013","Health","The Week Magazine","23"
"1434","To Prevent Colon Cancer, Get Your Butt to the Doctor","Wed Mar 06 11:22:52 EST 2013","Health","ABC News (blog)","85"
"1450","CRE Tops List of Scary Superbugs","Wed Mar 06 11:31:48 EST 2013","Health","ABC News","88"
"1475","Diabetes costs nation $245 billion annually, study says","Wed Mar 06 11:25:04 EST 2013","Health","USA TODAY","3"
"1476","Obsessive Compulsive Disorder Is Common In New Moms, Study Says","Wed Mar 06 11:37:06 EST 2013","Health","RTT News","37"
"1477","Gears of War Grandpa? Video Games May Help Boost Seniors' Mental Health","Wed Mar 06 11:37:21 EST 2013","Health","Counsel & Heal","25"
"1485","Insomnia may increase HF risk","Wed Mar 06 10:15:18 EST 2013","Health","Healio","19"
"1503","On 'curing' HIV: Read the fine print","Wed Mar 06 11:43:19 EST 2013","Health","The News Journal (blog)","112"
"1505","US doctor's 'gutsy' move led to baby's cure from HIV","Wed Mar 06 11:51:22 EST 2013","Health","Reuters","113"
"1581","Lilly CEO Calls for Higher Drug Prices in Europe","Wed Mar 06 06:14:13 EST 2013","Health","Wall Street Journal","4"
"1582","CDC urges hospital action to stop deadly bacteria","Wed Mar 06 11:20:24 EST 2013","Health","FierceHealthcare","94"
"1597","The CPR Death At Glenwood Gardens: What Really Happened And Five ...","Wed Mar 06 11:09:50 EST 2013","Health","Forbes","310"
"1609","Par pleads guilty to off-label marketing","Wed Mar 06 12:22:51 EST 2013","Health","UPI.com","24"
"1695","Family of Woman Denied CPR Says She Wanted 'Natural' Death","Wed Mar 06 12:39:45 EST 2013","Health","ABC News","323"
"1710","Study: New Mothers May Suffer From Postpartum OCD","Wed Mar 06 13:02:56 EST 2013","Health","Healthline","39"
"1716","Cost of Diabetes Care in US Keeps Climbing","Wed Mar 06 12:05:07 EST 2013","Health","U.S. News & World Report","4"
"1726","Worker who refused to perform CPR on leave from senior center","Wed Mar 06 12:43:58 EST 2013","Health","Los Angeles Times","324"
"1729","Woman Born With HIV Reacts to 'Cure'","Wed Mar 06 13:17:14 EST 2013","Health","ABC News","115"
"1745","Insomnia linked to Heart Failure, Study Finds","Wed Mar 06 11:39:45 EST 2013","Health","Counsel & Heal","21"
"1785","Par Pharmaceutical to Appear in Court, Official Says","Tue Mar 05 09:39:52 EST 2013","Health","Businessweek","24"
"1816","Health insurers launch TV war over Medicare Advantage cuts","Wed Mar 06 13:42:38 EST 2013","Health","Reuters","13"
"1829","Despite obesity rise, US calories trending downward","Wed Mar 06 13:41:17 EST 2013","Health","Reuters","-1"
"1866","Drug-Resistant Superbug Hits US Hospitals","Wed Mar 06 14:05:06 EST 2013","Health","Medical News Today","101"
"1914","Sex may be a natural way to treat migraines, cluster headaches","Wed Mar 06 11:53:02 EST 2013","Health","CBS News","31"
"1917","Mentally Ill Face High Risk for Homicide","Wed Mar 06 14:17:10 EST 2013","Health","MedPage Today","8"
"1926","Fight tobacco marketing, boost vaccinations to curb cancer, says report","Wed Mar 06 14:26:07 EST 2013","Health","Reuters","5"
"1944","Salty Diet Might Help Trigger MS, Rheumatoid Arthritis","Wed Mar 06 14:05:54 EST 2013","Health","U.S. News & World Report","11"
"1950","Too much salt may trigger autoimmune diseases - studies","Wed Mar 06 14:27:44 EST 2013","Health","Reuters","11"
"1959","People with mental illness at highly increased risk of being murder victims","Tue Mar 05 18:43:22 EST 2013","Health","Medical Xpress","-1"
"1968","Insomnia Tied to Heart Failure","Wed Mar 06 14:31:30 EST 2013","Health","MedPage Today","23"
"2018","Family Says Elderly Woman Didn't Want CPR","Wed Mar 06 14:25:57 EST 2013","Health","RTT News","320"
"2027","Which Scary Superbugs Pose the Biggest...","Wed Mar 06 15:09:35 EST 2013","Health","ABC News","105"
"2098","Video games may help seniors stay healthier emotionally, physically","Wed Mar 06 15:27:46 EST 2013","Health","CBS News","26"
"2154","Sequencing the Stages: Understanding HIV Infection at the Molecular Level","Wed Mar 06 15:44:35 EST 2013","Health","New York Times (blog)","127"
"2176","New Mothers Suffer from OCD at 4x the Rate of the General Population","Wed Mar 06 12:31:41 EST 2013","Health","Counsel & Heal","39"
"2180","States with strictest firearm laws have lowest rates of gun deaths, Boston ...","Wed Mar 06 14:31:06 EST 2013","Health","Boston.com","6"
"2208","Do More Gun Laws Mean Fewer Gun Deaths?","Wed Mar 06 16:02:42 EST 2013","Health","U.S. News & World Report","6"
"2279","'We Have A Limited Window Of Opportunity': CDC Warns of Resistance ...","Wed Mar 06 15:38:56 EST 2013","Health","Wired (blog)","110"
"2292","Local GI center participates in campaign to stop colon cancer","Wed Mar 06 13:34:45 EST 2013","Health","Lancaster Newspapers","93"
"2293","Firearm Deaths Lower Where Gun Laws Strong","Wed Mar 06 16:40:50 EST 2013","Health","MedPage Today","6"
"2335","Insomnia Leads to Threefold Increased Risk of Heart Failure","Wed Mar 06 07:34:00 EST 2013","Health","Nature World News","25"
"2342","Sleeping badly can triple your risk of heart failure, warn scientists","Tue Mar 05 20:17:39 EST 2013","Health","Daily Mail","25"
"2363","CDC Reports Deadly CRE “Nightmare Bacteria” spreading Through US Hospitals","Wed Mar 06 17:11:59 EST 2013","Health","Z6Mag","113"
"2374","Insomnia May Cause Heart Failure","Wed Mar 06 17:08:36 EST 2013","Health","Prensa Latina","26"
"2409","Fending off the 'nightmare bacteria'","Wed Mar 06 17:29:01 EST 2013","Health","MarketWatch","115"
"2416","Colon Cancer Screening... It's Up To You","Wed Mar 06 17:33:01 EST 2013","Health","Huffington Post","95"
"2427","Football Injuries May Trigger Harmful Immune System Response","Wed Mar 06 17:05:29 EST 2013","Health","U.S. News & World Report","7"
"2431","More gun laws = fewer deaths, 50-state study says","Wed Mar 06 17:46:00 EST 2013","Health","The Associated Press","6"
"2432","Insomnia Linked to Future Heart Failure","Wed Mar 06 17:46:13 EST 2013","Health","WebMD","26"
"2453","New Research Points to Brain Injuries in College Football","Wed Mar 06 17:28:51 EST 2013","Health","Businessweek","8"
"2465","States with more gun laws have fewer gun deaths, study says but which ones ...","Wed Mar 06 17:49:49 EST 2013","Health","Washington Post","7"
"2476","More gun laws fewer deaths, 50-state study says","Wed Mar 06 17:46:58 EST 2013","Health","Huffington Post","7"
"2477","Even Mild Hits to Head Disrupt Blood-Brain Barrier","Wed Mar 06 18:01:25 EST 2013","Health","MedPage Today","10"
"2538","Video Games Keep Elderly People Emotionally Healthy, New Study Says","Wed Mar 06 18:29:46 EST 2013","Health","Latinos Post","28"
"2544","URIBE: Nurse refused to perform CPR to avoid liability","Wed Mar 06 17:06:02 EST 2013","Health","Washington Times","331"
"2574","Do More Gun Laws Lead to Fewer Gun Deaths?","Wed Mar 06 18:38:12 EST 2013","Health","Huffington Post","7"
"2592","Family of Woman Denied CPR Says She...","Wed Mar 06 12:39:45 EST 2013","Health","ABC News","331"
"2610","Insomnia raises risk of heart failure","Wed Mar 06 19:02:28 EST 2013","Health","Insidermedicine","28"
"2653","Study Links Processed Meats With Early Death","Wed Mar 06 19:00:48 EST 2013","Health","U.S. News & World Report","7"
"2680","Processed meat blamed for one in 30 early deaths","Wed Mar 06 19:36:48 EST 2013","Health","Telegraph.co.uk","10"
"2691","US doctor's 'gutsy' move led to baby's cure from HIV","Wed Mar 06 19:40:24 EST 2013","Health","Reuters","135"
"2693","Patient 'nightmare bacteria' infections doubled in Minnesota last year","Wed Mar 06 18:06:49 EST 2013","Health","Pioneer Press","124"
"2700","Internet Search History May Reveal Unknown Drug Side Effects","Wed Mar 06 19:50:19 EST 2013","Health","Health.com","8"
"2711","Drug-Resistant 'Superbugs' Put CDC on Alert","Wed Mar 06 19:54:53 EST 2013","Health","Annenberg TV News","125"
"2720","Par Pharmaceutical to appear in court, near settlement","Tue Mar 05 10:31:36 EST 2013","Health","Reuters","25"
"2721","In US, Carbapenem-Resistant Enterobacteriaceae Increasing","Wed Mar 06 20:02:20 EST 2013","Health","Doctors Lounge","126"
"2731","Par to pay $45 million, end US probes over AIDS appetite drug","Tue Mar 05 11:45:29 EST 2013","Health","Reuters","25"
"2732","CDC warns hospitals about 'nightmare bacteria' that could kill patients","Wed Mar 06 20:05:32 EST 2013","Health","The Denver Channel","128"
"2733","Insomnia could lead to heart problems","Wed Mar 06 19:59:44 EST 2013","Health","CBS42","30"
"2734","Sex Cures Headaches - New Study","Wed Mar 06 19:01:44 EST 2013","Health","Latinos Post","33"
"2738","Trouble Falling Asleep - WKBW","Wed Mar 06 20:04:39 EST 2013","Health","TV","30"
"2747","Par Pharmaceutical to Appear in U.S. Court Today, Official Says","Tue Mar 05 08:34:14 EST 2013","Health","Bloomberg","25"
"2770","Sex is a 'better headache cure than painkillers': 1 in 5 migraine sufferers had no ...","Tue Mar 05 01:57:21 EST 2013","Health","Daily Mail","33"
"2829","Take-home test boosts colorectal cancer screening","Wed Mar 06 20:56:42 EST 2013","Health","CBC.ca","101"
"2839","Fewer gun deaths in states with most gun laws, study finds","Wed Mar 06 21:00:38 EST 2013","Health","NBCNews.com (blog)","21"
"2840","Police: No charges against nurse who refused to do CPR","Wed Mar 06 21:01:27 EST 2013","Health","NBCNews.com (blog)","343"
"2863","Bakersfield Police: No Criminal Charges Surrounding Death of Woman Denied ...","Wed Mar 06 21:31:19 EST 2013","Health","ABC News","343"
"2869","Salt linked to immune rebellion in study","Wed Mar 06 21:20:41 EST 2013","Health","BBC News","23"
"2886","Doctor: salt is a trigger for MS","Wed Mar 06 20:24:54 EST 2013","Health","WTNH","23"
"2893","Processed meat 'early death' link","Wed Mar 06 21:31:43 EST 2013","Health","BBC News","12"
"2900","Police: No Criminal Charges in Death of...","Wed Mar 06 21:46:27 EST 2013","Health","ABC News","322"
"2904","Can Sex Cure Your Migraine?","Wed Mar 06 21:13:55 EST 2013","Health","Care2.com","35"
"2926","Bakersfield police say no charges after CPR was denied to dying resident at ...","Wed Mar 06 21:51:31 EST 2013","Health","Minneapolis Star Tribune","322"
"2927","Cops: no charges after home's refusal to give CPR","Wed Mar 06 21:04:22 EST 2013","Health","San Jose Mercury News","322"
"2933","Eye Movement Analyzer May Diagnose Stroke","Wed Mar 06 22:05:27 EST 2013","Health","Medical News Today","14"
"2986","'Mortality index' predicts death in 10\yrs","Wed Mar 06 22:32:35 EST 2013","Health","UPI.com","5"
"3001","Northwestern Medicine study finds new mothers show high rate of obsessive ...","Wed Mar 06 22:39:09 EST 2013","Health","Daily Northwestern","39"
"3016","CDC: Nightmare Bacteria Spreading Across US","Wed Mar 06 21:56:41 EST 2013","Health","WFMY News 2","132"
"3035","No charges against adult center staffer who refused to do CPR","Wed Mar 06 23:11:38 EST 2013","Health","Los Angeles Times","323"
"3072","CDC Warns Of Nightmare Bacteria","Wed Mar 06 23:43:38 EST 2013","Health","Permianbasin360","133"
"3097","Flesh-eating germ in 31 of 63 state hospitals","Thu Mar 07 00:03:56 EST 2013","Health","Boston Herald","134"
"3178","Recall: Bumble Bee albacore, light tuna","Thu Mar 07 01:00:15 EST 2013","Health","UPI.com","16"
"3210","Cancer risk higher among people who eat more processed meat, study finds","Thu Mar 07 01:30:30 EST 2013","Health","The Guardian","17"
"3223","HIV-positive baby shows no sign of disease following treatment","Thu Mar 07 01:26:26 EST 2013","Health","The Daily Tar Heel","141"
"3248","Police say no charges will be filed over home's refusal to give CPR to woman","Thu Mar 07 02:11:34 EST 2013","Health","Fox News","323"
"3274","HIV\AIDS News Q&A re. Infant Believed Cured of HIV","Thu Mar 07 02:31:55 EST 2013","Health","San Francisco Bay Times","141"
"3286","Refusal to give dying woman CPR brings elderly care problems to light, expert ... - Pasadena Star","Thu Mar 07 02:15:39 EST 2013","Health","News","323"
"3322","New Mothers At Risk Of OCD (Obsessive-Compulsive Disorder)","Thu Mar 07 03:09:32 EST 2013","Health","Medical News Today","42"
"3323","Video Games Help Seniors Stay Happier And Healthier","Thu Mar 07 03:09:37 EST 2013","Health","Medical News Today","29"
"3369","New Report Says Diabetes Cost the United States $245 Billion in 2012","Wed Mar 06 21:59:46 EST 2013","Health","Medscape","12"
"3370","Posters on Teenage Pregnancy Draw Fire","Wed Mar 06 23:40:40 EST 2013","Health","New York Times","15"
"3426","Scientific Pragmatism in “Functional Cure” for HIV","Thu Mar 07 04:04:17 EST 2013","Health","Swarthmore College The Phoenix Online","144"
"3488","What do we mean by 'processed meat'?","Thu Mar 07 05:17:12 EST 2013","Health","BBC News","32"
"3495","Bumble Bee tuna products recalled","Wed Mar 06 16:54:42 EST 2013","Health","The Providence Journal","16"
"3557","CAU Holds Teen Summit for National Women and Girls HIV\AIDS Awareness Day","Thu Mar 07 06:18:22 EST 2013","Health","Patch.com","157"
"3570","Over 50? Join to 'Colonoscopy Club'","Thu Mar 07 06:01:27 EST 2013","Health","ABC News (blog)","99"
"3584","5 Myths in Steven Brill's 'Bitter Pill' -- Part 2","Thu Mar 07 06:47:35 EST 2013","Health","Forbes","8"
"3591","Bumble Bee tuna recall: 5-ounce cans of chunk white albacore, Brunswick brand ...","Thu Mar 07 06:56:48 EST 2013","Health","WPTV","16"
"3602","Medical marijuana a possibility for Florida","Thu Mar 07 06:07:40 EST 2013","Health","Central Florida News 13","30"
"3609","Salt may trigger autoimmune diseases - studies","Thu Mar 07 06:10:41 EST 2013","Health","Independent Online","25"
"3610","Eye-Tracking Device can Detect Stroke","Thu Mar 07 05:44:08 EST 2013","Health","Nature World News","15"
"3611","Videogames Make Old People Less Depressed","Thu Mar 07 03:44:31 EST 2013","Health","Escapist Magazine","30"
"3626","GlaxoSmithKline files for European approval of diabetes drug albiglutide","Thu Mar 07 07:10:30 EST 2013","Health","Reuters","5"
"3627","Medical marijuana businesses look to Massachusetts for growth opportunities","Thu Mar 07 01:09:46 EST 2013","Health","Boston.com","30"
"3715","Bumble Bee Issues Recall On Cans Of Tuna","Thu Mar 07 07:52:54 EST 2013","Health","Online News Heard Now","18"
"3749","Mom to Kraft: Cut Yellow Dye From Mac &...","Thu Mar 07 08:18:02 EST 2013","Health","ABC News (blog)","6"
"3755","Bumble Bee Tuna Recall: Company Pulls Some 5-Ounce Cans Over Risk The ...","Wed Mar 06 16:37:22 EST 2013","Health","Huffington Post","19"
"3823","Early detection key to preventing colon cancer","Thu Mar 07 08:45:04 EST 2013","Health","Moultrie News","103"
"3824","FDA Panel Votes against Use of Osteoporosis Drug","Thu Mar 07 08:50:49 EST 2013","Health","Science World Report","14"
"3829","Salt may be Linked to Autoimmune Disease, Average American Consumes 50 ...","Thu Mar 07 08:49:58 EST 2013","Health","Science World Report","28"
"3840","Dissatisfaction with EHRs Rising, Survey Finds","Thu Mar 07 09:01:20 EST 2013","Health","MedPage Today","26"
"3873","Bumble Bee Recalls Canned Tuna","Thu Mar 07 09:10:13 EST 2013","Health","LA Weekly (blog)","23"
"3874","Moms petition to rid Kraft Mac & Cheese of artificial coloring","Thu Mar 07 07:57:33 EST 2013","Health","MyFox Detroit","6"
"3875","HIV\AIDS Day and State AIDS Conference","Thu Mar 07 08:51:44 EST 2013","Health","WJTV","160"
"3877","David Epstein: Study: blood test could detect brain damage in active athletes","Thu Mar 07 09:12:26 EST 2013","Health","SI.com","13"
"3896","Study: blood test could detect brain damage in active athletes","Thu Mar 07 09:28:22 EST 2013","Health","SI.com","13"
"3907","Baby with HIV Cured—Now What?","Thu Mar 07 09:31:32 EST 2013","Health","Men's Health News","162"
"3915","Over 50? Join the 'Colonoscopy Club'","Thu Mar 07 06:01:27 EST 2013","Health","ABC News (blog)","102"
"3931","Study Shows Salt May be Linked to Autoimmune Disorders","Thu Mar 07 09:36:27 EST 2013","Health","Cleveland Leader","30"
"3943","Popular tuna brands recalled for improperly sealed cans","Thu Mar 07 09:46:20 EST 2013","Health","USA TODAY","24"
"3958","CDC: Deadly, drug-defying CRE bacteria on rise in US hospitals","Tue Mar 05 22:02:39 EST 2013","Health","Los Angeles Times","145"
"3967","Why 'nightmare bacteria' on the rise","Thu Mar 07 09:58:00 EST 2013","Health","CNN","145"
"3969","Planned Parenthood denounces teen pregnancy posters as stigmatizing ...","Thu Mar 07 06:16:55 EST 2013","Health","The Republic","19"
"3984","Heart Healthy Diet","Thu Mar 07 06:28:38 EST 2013","Health","Muncie Voice","8"
"4014","Nearly half of people who get 'superbug' will die","Thu Mar 07 10:16:57 EST 2013","Health","USA TODAY","150"
"4026","Bumble Bee and Chicken of the Sea Recall Tuna for Improperly Sealed Cans","Thu Mar 07 10:14:07 EST 2013","Health","Cleveland Leader","27"
"4045","Tuna brands recalled for improperly sealed cans","Thu Mar 07 10:20:54 EST 2013","Health","KSDK","27"
"4047","High Salt Consumption Linked to Growing Autoimmune Disease Rates in ...","Thu Mar 07 10:45:39 EST 2013","Health","Nature World News","31"
"4065","Bumble Bee Tuna Recalled Over Loose Seals","Thu Mar 07 10:46:24 EST 2013","Health","WebMD","28"
"4097","Northwestern study finds new moms at far more risk for OCD","Wed Mar 06 03:02:04 EST 2013","Health","Chicago Tribune","44"
"4105","GSK files diabetes drug in Europe in big regulatory offensive","Thu Mar 07 11:02:24 EST 2013","Health","FierceBiotech","8"
"4106","CPR death highlights end-of-life decisions: Column","Thu Mar 07 11:05:14 EST 2013","Health","USA TODAY","23"
"4137","Salty diet may increase risk for autoimmune diseases","Thu Mar 07 11:20:03 EST 2013","Health","CBS News","32"
"4144","Illinois Medical Marijuana House Committee Vote: Panel OKs Pot Plan, Full ...","Thu Mar 07 11:22:49 EST 2013","Health","Huffington Post","32"
"4145","Cash can bribe dieters to lose weight, study finds","Thu Mar 07 11:18:00 EST 2013","Health","The Associated Press","4"
"4193","The side effects of statin ads","Thu Mar 07 11:41:39 EST 2013","Health","Science Codex","9"
"4203","Refusing CPR to dying woman not a crime, police conclude","Thu Mar 07 11:21:49 EST 2013","Health","Los Angeles Times","24"
"4225","Tuna Recall Blamed on Seal","Thu Mar 07 11:20:21 EST 2013","Health","ABC News (blog)","34"
"4226","AIDS research Cured of HIV?","Thu Mar 07 11:35:52 EST 2013","Health","The Economist","168"
"4242","ADA study: Diabetes costs jump 41% from 2007","Thu Mar 07 11:52:21 EST 2013","Health","HME News","13"
"4250","Cash Incentives, Penalties May Spur People to Shed More Pounds","Thu Mar 07 12:05:13 EST 2013","Health","U.S. News & World Report","6"
"4251","Processed Meat Raises Risk Of Dying From Cancer And Heart Disease, Study ...","Thu Mar 07 12:02:50 EST 2013","Health","Huffington Post","66"
